"symbol","total_prices","stock_from_date","stock_to_date","total_earnings","earnings_from_date","earnings_to_date"
"A","5246","1999-11-18","2020-09-24","46","2009-05-14","2020-08-18"
"AA","981","2016-11-01","2020-09-24","15","2017-01-24","2020-07-15"
"AAAP","574","2015-11-11","2018-07-18","0","NULL","NULL"
"AABA","5486","1998-01-02","2020-03-10","14","2014-01-28","2017-04-18"
"AAC","1294","2014-10-02","2020-07-02","22","2014-11-05","2019-08-30"
"AAL","3772","2005-09-27","2020-09-21","27","2014-01-28","2020-07-23"
"AAMC","1959","2012-12-13","2020-09-24","23","2013-05-09","2018-11-07"
"AAME","5717","1998-01-02","2020-09-21","39","2009-05-14","2018-11-13"
"AAN","5720","1998-01-02","2020-09-24","45","2009-08-05","2020-07-29"
"AAOI","1759","2013-09-26","2020-09-21","28","2013-11-07","2020-08-06"
"AAON","5717","1998-01-02","2020-09-21","45","2009-05-06","2020-08-06"
"AAP","4738","2001-11-29","2020-09-24","46","2009-05-20","2020-08-18"
"AAPL","5717","1998-01-02","2020-09-21","45","2009-07-21","2020-07-30"
"AAT","2441","2011-01-13","2020-09-24","38","2011-05-10","2020-07-28"
"AAU","3716","2005-12-20","2020-09-24","30","2011-08-11","2018-11-07"
"AAV","3601","2004-03-31","2018-07-19","0","NULL","NULL"
"AAWW","3741","2005-11-09","2020-09-21","46","2009-05-05","2020-08-06"
"AAXJ","3046","2008-08-15","2020-09-21","0","NULL","NULL"
"AAXN","4854","2001-06-07","2020-09-22","27","2014-02-26","2020-08-06"
"AB","5720","1998-01-02","2020-09-24","45","2009-07-30","2020-07-23"
"ABAC","2205","2010-07-20","2019-04-23","0","NULL","NULL"
"ABAX","5180","1998-01-02","2018-08-03","0","NULL","NULL"
"ABB","4898","2001-04-06","2020-09-24","39","2009-10-30","2020-07-22"
"ABBV","1947","2013-01-02","2020-09-24","30","2013-04-26","2020-07-31"
"ABC","5720","1998-01-02","2020-09-24","45","2009-07-30","2020-08-05"
"ABCB","5717","1998-01-02","2020-09-21","45","2009-07-21","2020-07-27"
"ABCD","2272","2009-12-09","2018-12-18","0","NULL","NULL"
"ABDC","1446","2014-05-09","2020-03-10","21","2014-11-10","2019-11-05"
"ABE","4358","2001-01-02","2018-06-06","0","NULL","NULL"
"ABEO","5717","1998-01-02","2020-09-21","24","2015-05-14","2020-08-10"
"ABEOW","941","2015-06-22","2020-01-29","0","NULL","NULL"
"ABEV","5720","1998-01-02","2020-09-24","28","2014-02-26","2020-07-31"
"ABG","4662","2002-03-21","2020-09-24","45","2009-07-30","2020-07-28"
"ABIL","1193","2015-12-24","2020-09-21","10","2016-05-02","2018-12-26"
"ABIO","5717","1998-01-02","2020-09-21","36","2009-11-16","2020-08-05"
"ABLX","170","2017-10-20","2018-07-18","0","NULL","NULL"
"ABM","5720","1998-01-02","2020-09-24","46","2009-06-04","2020-09-08"
"ABMD","5717","1998-01-02","2020-09-21","46","2009-05-12","2020-08-06"
"ABR","4146","2004-04-07","2020-09-24","46","2009-05-08","2020-07-31"
"ABRN","995","2014-05-15","2018-04-26","0","NULL","NULL"
"ABT","5720","1998-01-02","2020-09-24","45","2009-07-15","2020-07-16"
"ABTX","1247","2015-10-08","2020-09-21","20","2015-10-30","2020-07-30"
"ABUS","1294","2015-08-03","2020-09-21","27","2014-03-06","2020-08-07"
"ABX","5372","1998-01-02","2019-05-09","0","NULL","NULL"
"AC","1213","2015-12-01","2020-09-24","13","2015-12-15","2018-11-06"
"ACA","470","2018-10-30","2020-09-11","7","2019-02-27","2020-07-30"
"ACAD","4108","2004-05-27","2020-09-21","46","2009-05-11","2020-08-05"
"ACAMU","263","2019-02-22","2020-09-18","0","NULL","NULL"
"ACAMW","199","2019-04-15","2020-09-14","0","NULL","NULL"
"ACB","1555","2014-07-11","2020-09-11","6","2019-05-14","2020-09-22"
"ACBI","1230","2015-11-02","2020-09-21","20","2015-11-13","2020-07-23"
"ACC","4059","2004-08-12","2020-09-24","45","2009-07-28","2020-07-20"
"ACCO","3803","2005-08-17","2020-09-24","35","2012-05-10","2020-07-28"
"ACER","754","2017-09-22","2020-09-21","25","2014-05-14","2020-08-13"
"ACERW","750","2015-04-14","2018-04-05","0","NULL","NULL"
"ACET","5425","1998-01-02","2019-07-25","39","2009-05-08","2018-11-08"
"ACFC","3440","2004-10-05","2018-11-14","0","NULL","NULL"
"ACGL","5717","1998-01-02","2020-09-21","45","2009-07-23","2020-07-29"
"ACGLO","781","2017-08-15","2020-09-21","0","NULL","NULL"
"ACGLP","1005","2016-09-23","2020-09-21","0","NULL","NULL"
"ACH","4730","2001-12-11","2020-09-24","24","2009-08-25","2018-10-25"
"ACHC","5717","1998-01-02","2020-09-21","35","2012-03-07","2020-08-04"
"ACHN","3328","2006-11-09","2020-03-05","43","2009-05-15","2019-11-07"
"ACHV","5717","1998-01-02","2020-09-21","27","2014-03-11","2020-08-06"
"ACIA","1097","2016-05-13","2020-09-21","17","2016-08-11","2020-08-10"
"ACIU","1005","2016-09-23","2020-09-21","14","2017-05-11","2020-08-05"
"ACIW","5717","1998-01-02","2020-09-21","46","2009-05-06","2020-08-06"
"ACLS","5082","2000-07-11","2020-09-21","46","2009-05-11","2020-08-04"
"ACM","3369","2007-05-10","2020-09-24","46","2009-05-07","2020-08-04"
"ACMR","735","2011-11-18","2020-09-21","12","2017-12-07","2020-08-05"
"ACN","4827","2001-07-19","2020-09-24","46","2009-06-25","2020-09-24"
"ACNB","5718","1998-01-02","2020-09-22","30","2011-10-31","2019-01-30"
"ACOR","3678","2006-02-10","2020-09-21","46","2009-05-06","2020-08-04"
"ACP","2432","2011-01-27","2020-09-24","0","NULL","NULL"
"ACRE","2117","2012-04-27","2020-09-24","33","2012-08-14","2020-08-06"
"ACRS","1248","2015-10-07","2020-09-21","20","2015-11-18","2020-08-07"
"ACRX","2418","2011-02-11","2020-09-21","37","2011-08-11","2020-08-10"
"ACSF","1182","2014-01-16","2019-07-12","0","NULL","NULL"
"ACST","2359","2011-05-06","2020-09-21","22","2014-05-21","2020-08-13"
"ACT","697","2017-12-13","2020-09-21","6","2014-02-20","2015-05-11"
"ACTA","4716","1999-08-05","2019-07-12","0","NULL","NULL"
"ACTG","4473","2002-12-16","2020-09-22","39","2009-07-23","2020-08-10"
"ACTT","283","2019-05-14","2020-06-29","0","NULL","NULL"
"ACTTU","292","2019-04-26","2020-06-24","2","2020-03-30","2020-05-15"
"ACTTW","227","2019-05-14","2020-06-29","0","NULL","NULL"
"ACU","5720","1998-01-02","2020-09-24","45","2009-07-17","2020-07-17"
"ACV","1337","2015-05-22","2020-09-11","0","NULL","NULL"
"ACWI","3144","2008-03-28","2020-09-21","0","NULL","NULL"
"ACWX","3143","2008-03-31","2020-09-21","0","NULL","NULL"
"ACXM","5222","1998-01-02","2019-02-08","0","NULL","NULL"
"ACY","5708","1998-01-20","2020-09-24","43","2009-05-07","2019-11-14"
"ADAP","1355","2015-05-06","2020-09-21","20","2015-11-13","2020-08-06"
"ADBE","5717","1998-01-02","2020-09-21","46","2009-06-16","2020-09-15"
"ADC","5711","1998-01-02","2020-09-11","44","2009-07-30","2020-07-20"
"ADES","4195","2004-01-23","2020-09-21","36","2009-05-14","2020-05-11"
"ADI","5717","1998-01-02","2020-09-21","46","2009-05-19","2020-08-19"
"ADIL","536","2018-07-27","2020-09-11","5","2019-02-13","2020-08-13"
