,symbol,date,dividend
387,ACSF,2018-01-22,0.097
1149,AGND,2018-01-23,0.08
1237,AGZD,2018-01-23,0.09
3723,BANR,2018-01-08,0.25
4033,BDGE,2018-01-19,0.23
4112,BELFA,2018-01-11,0.06
4208,BELFB,2018-01-11,0.07
5210,BPOPM,2018-01-11,0.1276
5388,BPOPN,2018-01-11,0.1396
6251,CAC,2018-01-11,0.25
6956,CBRL,2018-01-11,1.2
7330,CDC,2018-01-17,0.0201
7384,CDL,2018-01-17,0.0192
7506,CEZ,2018-01-17,0.0044
7511,CFA,2018-01-17,0.0093
7739,CFO,2018-01-17,0.0076
8044,CHCO,2018-01-11,0.46
9020,CID,2018-01-17,0.0067
9201,CIVB,2018-01-22,0.07
9499,CMCSA,2018-01-02,0.1575
9795,CMTL,2018-01-16,0.1
9935,CNOB,2018-01-11,0.075
9989,CNSL,2018-01-11,0.3874
10623,CPTA,2018-01-19,0.0833
10859,CSA,2018-01-17,0.0017
10893,CSB,2018-01-17,0.0212
10973,CSCO,2018-01-04,0.29
11005,CSF,2018-01-17,0.0029
11803,CVBF,2018-01-04,0.14
11917,CVLY,2018-01-22,0.155
12020,CWCO,2018-01-02,0.085
12138,CYCCP,2018-01-11,0.15
12567,DGRS,2018-01-23,0.03
12663,DGRW,2018-01-23,0.015
13150,DWIN,2018-01-22,0.0928
13240,EBAYL,2018-01-11,0.375
13447,ECOL,2018-01-18,0.18
13872,EMCB,2018-01-23,0.235
14313,ERIE,2018-01-05,0.84
14690,EVFTC,2018-01-02,0.0328
14707,EVGBC,2018-01-02,0.49
14731,EVLMC,2018-01-02,0.031
15445,FCAL,2018-01-23,0.125
15695,FCEF,2018-01-11,0.09
15790,FCVT,2018-01-23,0.04
15946,FDIV,2018-01-23,0.17
16208,FEMB,2018-01-23,0.21
16943,FIXD,2018-01-23,0.1005
17297,FMB,2018-01-23,0.1125
17408,FMHI,2018-01-23,0.135
17680,FNLC,2018-01-05,0.24
18330,FTHI,2018-01-23,0.08
18419,FTLB,2018-01-23,0.055
18513,FTSL,2018-01-23,0.145
18550,FTSM,2018-01-23,0.0825
19169,GAIN,2018-01-19,0.065
19240,GAINM,2018-01-19,0.1302
19283,GAINN,2018-01-19,0.1354
19298,GAINO,2018-01-19,0.1406
19567,GECCL,2018-01-11,0.4065
19612,GFED,2018-01-02,0.12
19652,GFNSL,2018-01-11,0.5078
19818,GLAD,2018-01-19,0.07
19913,GLADN,2018-01-19,0.125
20041,GLDI,2018-01-19,0.0164
20261,GNTX,2018-01-04,0.1
20423,GOOD,2018-01-19,0.125
20535,GOODM,2018-01-19,0.1458
20602,GOODO,2018-01-19,0.1563
20708,GOODP,2018-01-19,0.1615
21060,GROW,2018-01-12,0.0025
21293,GWRS,2018-01-12,0.024
21706,HBNC,2018-01-04,0.13
21769,HCAP,2018-01-18,0.1125
21965,HFBC,2018-01-04,0.05
22068,HFBL,2018-01-19,0.12
22167,HIFS,2018-01-04,0.34
22648,HRZN,2018-01-19,0.1
22915,HURC,2018-01-02,0.1
23091,HYLS,2018-01-23,0.23
23146,HYND,2018-01-23,0.09
23224,HYZD,2018-01-23,0.09
23407,IBKCO,2018-01-16,0.4125
23415,IBKCP,2018-01-16,0.8281
23532,IDCC,2018-01-09,0.35
24374,IMKTA,2018-01-10,0.165
24620,INTU,2018-01-09,0.39
25089,ISTR,2018-01-02,0.0315
25782,JOUT,2018-01-10,0.1
26126,KBWD,2018-01-22,0.1994
26276,KBWY,2018-01-22,0.2223
26341,KCAP,2018-01-04,0.1
26991,LAND,2018-01-19,0.0442
27045,LANDP,2018-01-19,0.1328
27411,LDRI,2018-01-22,0.0409
27615,LILA,2018-01-02,20.15
27864,LMBS,2018-01-23,0.1175
28209,LSTR,2018-01-11,1.5
29096,MCEF,2018-01-11,0.055
29278,MDIV,2018-01-23,0.089
29848,MGRC,2018-01-16,0.26
29902,MINDP,2018-01-11,0.5625
30355,MORN,2018-01-04,0.25
