,symbol,date,qtr,eps_est,eps,release_time
35,A,2018-02-14,01/2018,0.58,0.66,post
36,A,2018-05-14,04/2018,0.65,0.65,post
37,A,2018-08-14,07/2018,0.63,0.67,post
38,A,2018-11-19,10/2018,0.73,0.81,post
39,A,2019-02-20,01/2019,0.73,0.76,post
40,A,2019-05-14,04/2019,0.715,0.71,post
41,A,2019-08-14,07/2019,0.723,0.76,post
42,A,2019-11-25,Q4,0.855,0.89,
43,A,2020-02-18,Q1,0.809,0.81,
44,A,2020-05-21,Q2,0.606,0.71,
45,A,2020-08-18,Q3,0.663,0.78,
50,AA,2018-01-17,12/2017,1.23,1.04,post
51,AA,2018-04-18,03/2018,0.6,0.77,post
52,AA,2018-07-18,06/2018,1.33,1.52,post
53,AA,2018-10-17,09/2018,0.25,0.63,post
54,AA,2019-01-16,12/2018,0.32,0.66,post
55,AA,2019-04-17,03/2019,-0.131,-0.23,post
56,AA,2019-07-17,06/2019,-0.133,-0.01,post
57,AA,2019-10-16,Q3,-0.335,-0.44,
58,AA,2020-01-15,Q4,-0.217,-0.31,
59,AA,2020-04-22,Q1,-0.245,-0.23,
60,AA,2020-07-15,Q2,-0.385,-0.02,post
88,AAC,2018-02-21,12/2017,0.04,0.1,post
89,AAC,2018-05-02,03/2018,0.1,0.13,post
90,AAC,2018-08-01,06/2018,0.18,0.09,post
91,AAC,2018-11-06,09/2018,0.21,0.08,pre
92,AAC,2019-02-20,,-0.18,0.0,
93,AAC,2019-02-27,,-0.18,0.0,
94,AAC,2019-03-13,12/2018,-0.18,,pre
95,AAC,2019-04-16,Q4,-0.24,-0.85,
96,AAC,2019-08-30,Q2,-0.1,-0.5,pre
113,AAL,2018-01-25,12/2017,0.92,0.95,pre
114,AAL,2018-04-26,03/2018,0.74,0.75,pre
115,AAL,2018-07-26,06/2018,1.59,1.63,pre
116,AAL,2018-10-25,09/2018,1.12,1.13,pre
117,AAL,2019-01-24,12/2018,1.02,1.04,pre
118,AAL,2019-04-26,03/2019,0.506,0.52,pre
119,AAL,2019-07-25,Q2,1.795,1.82,
120,AAL,2019-10-24,Q3,1.395,1.42,
121,AAL,2020-01-23,Q4,1.142,1.15,
122,AAL,2020-04-30,Q1,-2.328,-2.65,
123,AAL,2020-07-23,Q2,-7.704,-7.82,
143,AAMC,2018-03-01,12/2017,,1.15,pre
144,AAMC,2018-05-08,03/2018,,0.92,
145,AAMC,2018-08-09,06/2018,,0.69,
146,AAMC,2018-11-07,09/2018,,0.75,
182,AAME,2018-03-26,12/2017,,0.16,
183,AAME,2018-05-11,03/2018,,0.03,
184,AAME,2018-08-14,06/2018,,0.0,
185,AAME,2018-11-13,09/2018,,0.02,
220,AAN,2018-02-15,12/2017,0.54,0.65,pre
221,AAN,2018-04-26,03/2018,0.95,0.81,pre
222,AAN,2018-07-26,06/2018,0.76,0.84,pre
223,AAN,2018-10-25,09/2018,0.75,0.69,pre
224,AAN,2019-02-14,,1.03,1.02,pre
225,AAN,2019-04-25,03/2019,0.935,1.08,pre
226,AAN,2019-07-25,06/2019,0.872,0.93,pre
227,AAN,2019-11-04,Q3,0.819,0.73,
228,AAN,2020-02-20,Q4,1.068,1.15,
229,AAN,2020-05-07,Q1,0.774,0.85,
230,AAN,2020-07-29,Q2,0.777,1.18,
248,AAOI,2018-02-21,12/2017,0.82,0.89,post
249,AAOI,2018-05-08,03/2018,0.33,0.28,post
250,AAOI,2018-08-07,06/2018,0.44,0.64,post
251,AAOI,2018-11-07,09/2018,0.0,0.14,post
252,AAOI,2019-02-21,12/2018,-0.038,-0.02,post
253,AAOI,2019-05-08,03/2019,-0.217,-0.27,post
254,AAOI,2019-08-07,Q2,-0.373,-0.26,post
255,AAOI,2019-11-06,Q3,-0.24,-0.15,post
256,AAOI,2020-02-27,Q4,-0.234,-0.18,post
257,AAOI,2020-05-07,Q1,-0.378,-0.44,post
258,AAOI,2020-08-06,Q2,-0.253,-0.24,post
294,AAON,2018-02-27,12/2017,0.24,0.22,pre
295,AAON,2018-05-03,03/2018,0.24,0.08,pre
296,AAON,2018-08-02,06/2018,0.2,0.22,pre
297,AAON,2018-11-01,09/2018,0.3,0.27,pre
298,AAON,2019-02-28,Q4,0.277,0.24,
299,AAON,2019-05-02,Q1,0.233,0.21,
300,AAON,2019-10-31,Q3,0.284,0.26,pre
301,AAON,2020-02-27,Q4,0.293,0.33,
302,AAON,2020-05-07,Q1,0.353,0.41,
303,AAON,2020-08-06,Q2,0.364,0.34,
339,AAP,2018-02-21,12/2017,0.65,0.77,pre
340,AAP,2018-05-22,03/2018,1.98,2.1,pre
341,AAP,2018-08-14,06/2018,1.85,1.97,pre
342,AAP,2018-11-13,09/2018,1.77,1.89,pre
343,AAP,2019-02-19,12/2018,1.14,1.17,pre
344,AAP,2019-05-22,03/2019,2.359,2.46,pre
345,AAP,2019-08-13,06/2019,2.206,2.0,pre
346,AAP,2019-11-12,Q3,2.052,2.1,
347,AAP,2020-02-18,Q4,1.348,1.64,
348,AAP,2020-05-19,Q1,1.731,0.91,
349,AAP,2020-08-18,Q2,1.983,2.92,
384,AAPL,2018-02-01,12/2017,3.82,3.89,post
385,AAPL,2018-05-01,03/2018,2.69,2.73,post
386,AAPL,2018-07-31,06/2018,2.17,2.34,post
387,AAPL,2018-11-01,09/2018,2.79,2.91,post
388,AAPL,2019-01-29,12/2018,4.17,4.18,post
389,AAPL,2019-04-30,03/2019,2.361,2.46,post
